combination_number,generation,sharpe_ratio
6,63,0.24627612339715213
6,64,0.24627612339715213
6,65,0.24651364615818247
6,66,0.24681968240456648
6,67,0.24695539872065125
6,68,0.24695539872065125
6,69,0.24731831232402238
6,70,0.24731831232402238
6,71,0.24741524495749992
6,72,0.24797284579591436
6,73,0.24797284579591436
6,74,0.24797284579591436
6,75,0.24797284579591436
6,76,0.24797284579591436
6,77,0.24797284579591436
6,78,0.24797284579591436
6,79,0.24797284579591436
6,80,0.24797284579591436
6,81,0.24797284579591436
6,82,0.24797284579591436
6,83,0.24797284579591436
6,84,0.24797284579591436
6,85,0.24797284579591436
6,86,0.24797284579591436
6,87,0.24797284579591436
6,88,0.24797284579591436
6,89,0.24812474686858416
6,90,0.24812474686858416
6,91,0.24812474686858416
6,92,0.24812474686858416
6,93,0.24814877222677661
6,94,0.24814877222677661
6,95,0.24814877222677661
6,96,0.24814877222677661
6,97,0.24814877222677661
6,98,0.24821715974542105
6,99,0.24821715974542105
6,100,0.2483387113891577
6,101,0.2483387113891577
6,102,0.2483387113891577
6,103,0.2483387113891577
6,104,0.24840755369639098
6,105,0.24840755369639098
6,106,0.24840755369639098
6,107,0.24840755369639098
6,108,0.2485745447715969
6,109,0.2485745447715969
6,110,0.2485745447715969
6,111,0.2485745447715969
6,112,0.2485745447715969
6,113,0.2485745447715969
6,114,0.2485745447715969
6,115,0.2485745447715969
6,116,0.2485745447715969
6,117,0.2485745447715969
6,118,0.2485745447715969
6,119,0.24867361320341502
6,120,0.2491230141673894
6,121,0.2491230141673894
6,122,0.2491230141673894
6,123,0.2491230141673894
6,124,0.2491230141673894
6,125,0.2491230141673894
6,126,0.2491230141673894
6,127,0.2491230141673894
6,128,0.2491230141673894
6,129,0.2491230141673894
6,130,0.24915528640479007
6,131,0.24915528640479007
6,132,0.24915528640479007
6,133,0.24915528640479007
6,134,0.24915528640479007
6,135,0.24915528640479007
6,136,0.24915528640479007
6,137,0.24915528640479007
6,138,0.24915528640479007
6,139,0.24915528640479007
6,140,0.24915528640479007
6,141,0.24915528640479007
6,142,0.24915528640479007
6,143,0.24915528640479007
6,144,0.24915528640479007
6,145,0.24915528640479007
6,146,0.24915528640479007
6,147,0.24915528640479007
6,148,0.24915528640479007
6,149,0.24915528640479007
6,150,0.24915528640479007
6,151,0.24915528640479007
6,152,0.24915528640479007
6,153,0.24915528640479007
6,154,0.24915528640479007
6,155,0.24915528640479007
6,156,0.24915528640479007
6,157,0.24915528640479007
6,158,0.24915528640479007
6,159,0.24915528640479007
6,160,0.24915528640479007
6,161,0.24915528640479007
6,162,0.24915528640479007
6,163,0.24915528640479007
6,164,0.24915528640479007
6,165,0.24915528640479007
6,166,0.24915528640479007
6,167,0.24915528640479007
6,168,0.24915528640479007
6,169,0.24915528640479007
6,170,0.24915528640479007
6,171,0.24915528640479007
6,172,0.24915528640479007
6,173,0.24915528640479007
6,174,0.24915528640479007
6,175,0.24915528640479007
6,176,0.24915528640479007
6,177,0.24915528640479007
6,178,0.24915528640479007
6,179,0.24915528640479007
6,180,0.24915528640479007
6,181,0.24916981036037691
6,182,0.24916981036037691
6,183,0.24916981036037691
6,184,0.24916981036037691
6,185,0.24916981036037691
6,186,0.24916981036037691
6,187,0.24916981036037691
6,188,0.24916981036037691
6,189,0.24916981036037691
6,190,0.24916981036037691
6,191,0.24916981036037691
6,192,0.24916981036037691
6,193,0.24916981036037691
6,194,0.24916981036037691
6,195,0.24916981036037691
6,196,0.24916981036037691
6,197,0.24916981036037691
6,198,0.24916981036037691
6,199,0.24916981036037691
6,200,0.24916981036037691
7,1,0.17757564917002652
7,2,0.19194172523742187
7,3,0.1931600425678057
7,4,0.1931600425678057
7,5,0.19897494276102695
7,6,0.20180760079440566
7,7,0.20603311783579112
7,8,0.21040045350982875
7,9,0.21040045350982875
7,10,0.21040045350982875
7,11,0.21988930267642062
7,12,0.21988930267642062
7,13,0.21988930267642062
7,14,0.22584013752641605
7,15,0.22684462631996485
7,16,0.22684462631996485
